;"Organisationsschlüssel";"Beschreibung";"Anlernen_Ausbildung";"Erfahrung";"Denken";"Handlungsspielraum";"Kommunikation";"Führung";"Punkte";"Entgeltgruppe";;
;"07.01.01.05";"Vertriebssachbearbeiter/-in - Bearbeiten von Angeboten und Aufträgen";"B 2";"E 1";"D 2";"H 3";"K 2";"F 0";"25  ";" EG 7";;
;"07.01.01.10";"Projektsachbearbeiter/in Vertrieb - Planen und Steuern von Projektbausteinen im Vertrieb ";"B 4";"E 3";"D 3";"H 4";"K 3";"F 0";"41  ";" EG 11";;
;"07.01.01.20";"Projektleiter/-in Vertrieb - Leiten von Projekten im Vertrieb";"B 5";"E 5";"D 4";"H 6";"K 5";"F 1";"65  ";" EG 17";;
;"07.02.05.05";"Verkaufssachbearbeiter/-in - Verkaufen von standardisierten Produkten";"B 2";"E 3";"D 3";"H 3";"K 3";"F 0";"33  ";" EG 9";;
;"07.02.05.10";"Gebietsbevollmächtige(r) - Verkaufen von komplexen Produkten";"B 5";"E 4";"D 4";"H 6";"K 5";"F 0";"61  ";" EG 16";;
;"07.04.02.05";"Call-Center-Agent/-in  - Telefonische Störungsannahme";"A 2";"E 0";"D 1";"H 1";"K 1";"F 0";"7  ";" EG 2";;
;"07.04.02.10";"CC-Dispatcher/-in  - Telefonische Störungsannahme";"A 4";"E 0";"D 2";"H 2";"K 2";"F 0";"16  ";" EG 5";;
;"07.04.02.15";"CC-Support-Techniker/-in  - Telefonische Störungsbehebung";"B 4";"E 3";"D 4";"H 3";"K 3";"F 0";"42  ";" EG 11";;
;"07.05.01.05";"Versandfachkraft  - Zusammenstellen von Versandaufträgen";"B 1";"E 1";"D 2";"H 2";"K 1";"F 0";"18  ";" EG 5";;
;"07.05.01.10";"Versandsachbearbeiter/-in  - Ausfertigen von Versandunterlagen";"B 2";"E 3";"D 2";"H 3";"K 2";"F 0";"29  ";" EG 8";;
;"07.05.01.20";"Versandleiter/-in  - Leiten des Versandes";"B 3";"E 4";"D 3";"H 5";"K 4";"F 2";"48  ";" EG 13";;
;"07.06.01.05";"Systemfachkraft  - Anpassen von Komponenten";"B 2";"E 2";"D 3";"H 3";"K 2";"F 0";"29  ";" EG 8";;
;"07.06.01.10";"Systemtechniker/-in - Anpassen, Modifizieren und Optimieren von Systemen und Komponenten";"B 4";"E 3";"D 4";"H 4";"K 3";"F 0";"44  ";" EG 12";;
;"07.06.01.15";"Engineeringprojektleiter/-in - Leiten von Engineeringsprojekten";"B 5";"E 4";"D 5";"H 6";"K 4";"F 1";"64  ";" EG 17";;
;"07.06.02.10";"Anlagenelektroniker/-in 1 - Durchführen von Montagearbeiten";"B 2";"E 2";"D 3";"H 3";"K 3";"F 0";"31  ";" EG 9";;
;"07.06.02.15";"Anlagenelektroniker/-in 2  - Koordinieren und Durchführen von Montagearbeiten";"B 2";"E 4";"D 3";"H 4";"K 3";"F 1";"40  ";" EG 11";;
;"07.06.03.10";"IBS-Spezialmonteur/-in  - Durchführen aller Inbetriebnahme-/ Servicearbeiten";"B 2";"E 3";"D 4";"H 4";"K 3";"F 1";"40  ";" EG 11";;
;"07.06.03.15";"IBS-Techniker/-in - Koordinieren und Durchführen von komplex- en Inbetriebnahme- und Serviceaufgaben";"B 4";"E 4";"D 4";"H 4";"K 4";"F 1";"51  ";" EG 14";;
;"07.06.03.20";"Kundenbetreuer/-in - Betreuen von Erzeugnissen im Kundendienst (IBS)";"B 4";"E 5";"D 4";"H 5";"K 4";"F 1";"55  ";" EG 15";;
;"08.01.01.05";"Maschinenbeschicker/-in - Beschicken von Bearbeitungsmaschinen";"A 1";"E 0";"D 1";"H 1";"K 1";"F 0";"6  ";" EG 1";;
;"08.01.01.10";"Maschinenbediener/-in 1 - Bedienen von Bearbeitungsmaschinen";"A 4";"E 0";"D 2";"H 2";"K 1";"F 0";"14  ";" EG 4";;
;"08.01.01.15";"Maschinenbediener/-in 2 - Rüsten und Bedienen von Bearbeitungsmaschinen";"B 1";"E 1";"D 2";"H 2";"K 2";"F 0";"20  ";" EG 6";;
;"08.01.01.20";"Maschineneinrichter/-in - Einrichten und Bedienen von Bearbeitungsmaschinen";"B 2";"E 2";"D 3";"H 3";"K 2";"F 0";"29  ";" EG 8";;
;"08.01.01.25";"Großanlagenführer/-in - Führen von CNC-Großbearbeitungszentren";"B 2";"E 5";"D 3";"H 4";"K 2";"F 0";"38  ";" EG 10";;
;"08.01.02.05";"Anlagenbediener/-in 1 Veredelung - Bedienen von Bereichen einer Veredelungsanlage";"A 4";"E 0";"D 1";"H 1";"K 1";"F 0";"10  ";" EG 3";;
;"08.01.02.10";"Anlagenbediener/-in 2  Veredelung - Rüsten und Bedienen von Veredelungsanlagen";"A 5";"E 0";"D 2";"H 2";"K 2";"F 0";"18  ";" EG 5";;
;"08.01.02.15";"Anlagenführer/-in Veredelung  - Führen von Veredelungsanlagen";"B 2";"E 2";"D 2";"H 3";"K 2";"F 1";"29  ";" EG 8";;
;"08.02.01.05";"Montierer/-in 1 - Durchführen von Montagen mit beschränk-tem Umfang in der Serienfertigung";"A 2";"E 0";"D 1";"H 1";"K 1";"F 0";"7  ";" EG 2";;
;"08.02.01.10";"Montierer/-in 2  - Durchführen von größeren Montageumfängen";"A 3";"E 0";"D 2";"H 1";"K 2";"F 0";"12  ";" EG 4";;
;"08.02.01.15";"Montierer/-in 3  - Durchführen von vielschichtigen Montageumfängen";"A 4";"E 0";"D 2";"H 2";"K 2";"F 0";"16  ";" EG 5";;
;"08.02.01.20";"Einzelgerätemonteur/-in 1 - Montieren von Einzelgeräten";"B 1";"E 1";"D 2";"H 3";"K 2";"F 0";"22  ";" EG 6";;
;"08.02.01.25";"Einzelgerätemonteur/-in 2 - Anfertigen und Montieren von Einzelgeräten / Mustern";"B 2";"E 3";"D 3";"H 3";"K 3";"F 0";"33  ";" EG 9";;
